216,0,158,216
193,0,1730,193
324,0,759,324
3,0,1350,3
365,0,583,365
545,0,1173,545
46,0,2263,46
287,0,722,287
612,0,1564,612
519,0,1995,519
399,0,330,399
603,0,1555,603
288,0,723,288
301,0,736,301
501,0,1786,501
584,0,1481,584
572,0,1200,572
314,0,749,314
189,0,1656,189
442,0,373,442
472,0,912,472
63,0,2280,63
426,0,357,426
12,0,1359,12
170,0,1729,170
521,0,2024,521
534,0,1162,534
544,0,1216,544
385,0,316,385
166,0,1703,166
475,0,915,475
38,0,1440,38
529,0,1132,529
61,0,2266,61
75,0,2280,75
570,0,1199,570
446,0,377,446
478,0,970,478
79,0,2281,79
549,0,1177,549
349,0,567,349
116,0,22,116
602,0,1511,602
375,0,535,375
352,0,570,352
443,0,374,443
186,0,1653,186
500,0,940,500
451,0,382,451
598,0,1550,598
264,0,206,264
522,0,1998,522
541,0,1169,541
185,0,1722,185
450,0,381,450
8,0,1355,8
476,0,916,476
81,0,2283,81
155,0,61,155
94,0,0,94
387,0,318,387
117,0,23,117
604,0,1556,604
167,0,1704,167
161,0,1698,161
558,0,1230,558
229,0,171,229
39,0,1441,39
124,0,30,124
154,0,1621,154
29,0,1431,29
171,0,1638,171
183,0,1650,183
238,0,180,238
107,0,13,107
56,0,1403,56
551,0,1223,551
488,0,936,488
265,0,207,265
373,0,591,373
48,0,2297,48
489,0,937,489
143,0,49,143
383,0,314,383
449,0,380,449
536,0,1164,536
412,0,343,412
269,0,211,269
364,0,582,364
306,0,741,306
462,0,393,462
145,0,51,145
120,0,26,120
455,0,386,455
2,0,1349,2
252,0,194,252
582,0,1479,582
332,0,492,332
132,0,38,132
464,0,904,464
10,0,1412,10
511,0,1796,511
331,0,491,331
559,0,1231,559
30,0,1377,30
191,0,1728,191
69,0,2171,69
262,0,204,262
172,0,1709,172
564,0,1192,564
509,0,1889,509
220,0,162,220
474,0,405,474
147,0,53,147
296,0,731,296
428,0,359,428
78,0,2283,78
342,0,502,342
548,0,1090,548
590,0,1498,590
281,0,716,281
452,0,383,452
552,0,1224,552
401,0,332,401
523,0,2000,523
535,0,1207,535
311,0,746,311
532,0,1160,532
99,0,5,99
129,0,35,129
7,0,1409,7
34,0,1381,34
597,0,1549,597
345,0,563,345
174,0,1700,174
328,0,546,328
22,0,1369,22
427,0,358,427
100,0,6,100
74,0,2219,74
610,0,1562,610
127,0,33,127
68,0,2273,68
20,0,1367,20
258,0,200,258
218,0,160,218
249,0,191,249
14,0,1416,14
283,0,649,283
108,0,14,108
396,0,327,396
13,0,1317,13
384,0,315,384
300,0,735,300
326,0,761,326
379,0,597,379
515,0,1991,515
77,0,2222,77
289,0,724,289
44,0,1391,44
309,0,744,309
395,0,326,395
165,0,1632,165
273,0,215,273
